symbol,date,close,volume
RELIANCE,2026-06-15 00:00:00+05:30,1307.0,18633321
RELIANCE,2026-06-16 00:00:00+05:30,1328.800048828125,18513223
RELIANCE,2026-06-17 00:00:00+05:30,1332.699951171875,10029170
RELIANCE,2026-06-18 00:00:00+05:30,1328.0999755859375,15494549
RELIANCE,2026-06-19 00:00:00+05:30,1309.5,24887034
RELIANCE,2026-06-22 00:00:00+05:30,1326.5,12931213
RELIANCE,2026-06-23 00:00:00+05:30,1309.5,15400184
RELIANCE,2026-06-24 00:00:00+05:30,1313.5999755859375,11030917
RELIANCE,2026-06-25 00:00:00+05:30,1318.0999755859375,12694362
RELIANCE,2026-06-26 00:00:00+05:30,1318.0999755859375,0
RELIANCE,2026-06-29 00:00:00+05:30,1301.0,13757656
RELIANCE,2026-06-30 00:00:00+05:30,1293.9000244140625,15695263
RELIANCE,2026-07-01 00:00:00+05:30,1308.0,7001401
RELIANCE,2026-07-02 00:00:00+05:30,1303.5,17795024
RELIANCE,2026-07-03 00:00:00+05:30,1304.0,7839550
RELIANCE,2026-07-06 00:00:00+05:30,1321.300048828125,7610709
RELIANCE,2026-07-07 00:00:00+05:30,1308.4000244140625,14335554
RELIANCE,2026-07-08 00:00:00+05:30,1275.9000244140625,19960868
RELIANCE,2026-07-09 00:00:00+05:30,1279.800048828125,14651963
RELIANCE,2026-07-10 00:00:00+05:30,1307.800048828125,8412537
RELIANCE,2026-07-13 00:00:00+05:30,1296.9000244140625,9488352
RELIANCE,2026-07-14 00:00:00+05:30,1293.0,13511284
RELIANCE,2026-07-15 00:00:00+05:30,1295.5,9577965
RELIANCE,2026-07-16 00:00:00+05:30,1296.5999755859375,15631046
RELIANCE,2026-07-17 00:00:00+05:30,1327.199951171875,18302218
RELIANCE,2026-07-20 00:00:00+05:30,1323.0999755859375,14305844
RELIANCE,2026-07-21 00:00:00+05:30,1303.699951171875,12753410
RELIANCE,2026-07-22 00:00:00+05:30,1288.5999755859375,10840383
RELIANCE,2026-07-23 00:00:00+05:30,1272.199951171875,12580741
RELIANCE,2026-07-24 00:00:00+05:30,1278.0,9817000
RELIANCE,2026-07-27 00:00:00+05:30,1280.0,7163132
RELIANCE,2026-07-28 00:00:00+05:30,1267.699951171875,9312184
RELIANCE,2026-07-29 00:00:00+05:30,1275.9000244140625,9448307
RELIANCE,2026-07-30 00:00:00+05:30,1292.9000244140625,12158451
RELIANCE,2026-07-31 00:00:00+05:30,1307.800048828125,8624996
RELIANCE,2026-08-03 00:00:00+05:30,1319.0,7508023
RELIANCE,2026-08-04 00:00:00+05:30,1290.9000244140625,10759546
RELIANCE,2026-08-05 00:00:00+05:30,1280.0,24820782
RELIANCE,2026-08-06 00:00:00+05:30,1325.0,20342297
RELIANCE,2026-08-07 00:00:00+05:30,1334.800048828125,9885638
RELIANCE,2026-08-10 00:00:00+05:30,1327.300048828125,8207102
RELIANCE,2026-08-11 00:00:00+05:30,1323.9000244140625,9953124
RELIANCE,2026-08-12 00:00:00+05:30,1329.0,7901012
RELIANCE,2026-08-13 00:00:00+05:30,1317.0,9397301
RELIANCE,2026-08-14 00:00:00+05:30,1310.0,10497358
RELIANCE,2026-08-17 00:00:00+05:30,1316.0,13383867
RELIANCE,2026-08-18 00:00:00+05:30,1322.0,10180567
RELIANCE,2026-08-19 00:00:00+05:30,1311.0,7489365
RELIANCE,2026-08-20 00:00:00+05:30,1313.199951171875,5546227
RELIANCE,2026-08-21 00:00:00+05:30,1316.0,5434871
RELIANCE,2026-08-24 00:00:00+05:30,1309.800048828125,7277167
RELIANCE,2026-08-25 00:00:00+05:30,1317.0,7115355
RELIANCE,2026-08-26 00:00:00+05:30,1298.0,5744474
RELIANCE,2026-08-27 00:00:00+05:30,1282.199951171875,11271497
RELIANCE,2026-08-28 00:00:00+05:30,1287.0,6830228
RELIANCE,2026-08-31 00:00:00+05:30,1277.0,34871137
RELIANCE,2026-09-01 00:00:00+05:30,1309.0,12617528
RELIANCE,2026-09-02 00:00:00+05:30,1313.0999755859375,13497841
RELIANCE,2026-09-03 00:00:00+05:30,1302.5,9721454
RELIANCE,2026-09-04 00:00:00+05:30,1322.0,13031534
RELIANCE,2026-09-07 00:00:00+05:30,1309.5,10210522
RELIANCE,2026-09-08 00:00:00+05:30,1294.9000244140625,9799528
RELIANCE,2026-09-09 00:00:00+05:30,1279.0,12152819
RELIANCE,2026-09-10 00:00:00+05:30,1274.0,9296079
RELIANCE,2026-09-11 00:00:00+05:30,1257.5,8777736
