symbol,date,close,volume
TCS,2026-06-15 00:00:00+05:30,2150.21044921875,3337083
TCS,2026-06-16 00:00:00+05:30,2187.0087890625,3079898
TCS,2026-06-17 00:00:00+05:30,2210.8779296875,2865010
TCS,2026-06-18 00:00:00+05:30,2191.285400390625,3735188
TCS,2026-06-19 00:00:00+05:30,2113.412353515625,13286502
TCS,2026-06-22 00:00:00+05:30,2116.197021484375,4566101
TCS,2026-06-23 00:00:00+05:30,2048.368896484375,6392736
TCS,2026-06-24 00:00:00+05:30,2097.49951171875,4747277
TCS,2026-06-25 00:00:00+05:30,2083.27734375,4738903
TCS,2026-06-26 00:00:00+05:30,2083.27734375,0
TCS,2026-06-29 00:00:00+05:30,2086.4599609375,3412470
TCS,2026-06-30 00:00:00+05:30,2020.422119140625,6848411
TCS,2026-07-01 00:00:00+05:30,1971.788818359375,4658295
TCS,2026-07-02 00:00:00+05:30,2056.82275390625,6040621
TCS,2026-07-03 00:00:00+05:30,2082.083984375,4028819
TCS,2026-07-06 00:00:00+05:30,2046.3798828125,2567386
TCS,2026-07-07 00:00:00+05:30,2084.669921875,4769048
TCS,2026-07-08 00:00:00+05:30,2046.2803955078125,3666985
TCS,2026-07-09 00:00:00+05:30,2038.323974609375,3791498
TCS,2026-07-10 00:00:00+05:30,2057.717529296875,6714551
TCS,2026-07-13 00:00:00+05:30,2169.604248046875,12382622
TCS,2026-07-14 00:00:00+05:30,2188.60009765625,9546290
TCS,2026-07-15 00:00:00+05:30,2189.199951171875,5426489
TCS,2026-07-16 00:00:00+05:30,2201.0,5197595
TCS,2026-07-17 00:00:00+05:30,2269.0,5615138
TCS,2026-07-20 00:00:00+05:30,2251.10009765625,2202693
TCS,2026-07-21 00:00:00+05:30,2221.10009765625,2382160
TCS,2026-07-22 00:00:00+05:30,2208.300048828125,1599665
TCS,2026-07-23 00:00:00+05:30,2242.89990234375,2503539
TCS,2026-07-24 00:00:00+05:30,2254.300048828125,3211699
TCS,2026-07-27 00:00:00+05:30,2295.60009765625,4007292
TCS,2026-07-28 00:00:00+05:30,2398.0,8248513
TCS,2026-07-29 00:00:00+05:30,2446.60009765625,7169419
TCS,2026-07-30 00:00:00+05:30,2431.800048828125,4901582
TCS,2026-07-31 00:00:00+05:30,2365.60009765625,4343683
TCS,2026-08-03 00:00:00+05:30,2473.699951171875,3036839
TCS,2026-08-04 00:00:00+05:30,2460.0,2792792
TCS,2026-08-05 00:00:00+05:30,2413.0,3014409
TCS,2026-08-06 00:00:00+05:30,2373.0,2729141
TCS,2026-08-07 00:00:00+05:30,2452.699951171875,4547979
TCS,2026-08-10 00:00:00+05:30,2425.699951171875,2322023
TCS,2026-08-11 00:00:00+05:30,2445.699951171875,1514105
TCS,2026-08-12 00:00:00+05:30,2349.699951171875,7022647
TCS,2026-08-13 00:00:00+05:30,2375.0,2123494
TCS,2026-08-14 00:00:00+05:30,2361.0,2232160
TCS,2026-08-17 00:00:00+05:30,2313.199951171875,2237636
TCS,2026-08-18 00:00:00+05:30,2280.0,1797822
TCS,2026-08-19 00:00:00+05:30,2289.0,3368922
TCS,2026-08-20 00:00:00+05:30,2298.0,2047848
TCS,2026-08-21 00:00:00+05:30,2302.0,2066749
TCS,2026-08-24 00:00:00+05:30,2284.10009765625,1542723
TCS,2026-08-25 00:00:00+05:30,2296.199951171875,3041609
TCS,2026-08-26 00:00:00+05:30,2270.0,1660737
TCS,2026-08-27 00:00:00+05:30,2248.39990234375,1709113
TCS,2026-08-28 00:00:00+05:30,2342.0,4054069
TCS,2026-08-31 00:00:00+05:30,2399.300048828125,2905846
TCS,2026-09-01 00:00:00+05:30,2369.0,2678034
TCS,2026-09-02 00:00:00+05:30,2348.0,2533005
TCS,2026-09-03 00:00:00+05:30,2320.10009765625,1892786
TCS,2026-09-04 00:00:00+05:30,2304.0,2564322
TCS,2026-09-07 00:00:00+05:30,2270.0,2297551
TCS,2026-09-08 00:00:00+05:30,2255.5,2148114
TCS,2026-09-09 00:00:00+05:30,2208.0,3370071
TCS,2026-09-10 00:00:00+05:30,2204.10009765625,2490912
TCS,2026-09-11 00:00:00+05:30,2200.800048828125,2634124
