symbol,date,close,volume
ICICIBANK,2026-06-15 00:00:00+05:30,1316.501220703125,16172921
ICICIBANK,2026-06-16 00:00:00+05:30,1323.145263671875,13069159
ICICIBANK,2026-06-17 00:00:00+05:30,1325.6243896484375,8026424
ICICIBANK,2026-06-18 00:00:00+05:30,1331.078369140625,13467985
ICICIBANK,2026-06-19 00:00:00+05:30,1335.2431640625,9057322
ICICIBANK,2026-06-22 00:00:00+05:30,1341.0938720703125,4814845
ICICIBANK,2026-06-23 00:00:00+05:30,1327.11181640625,11884879
ICICIBANK,2026-06-24 00:00:00+05:30,1362.11669921875,16440708
ICICIBANK,2026-06-25 00:00:00+05:30,1375.9005126953125,17173209
ICICIBANK,2026-06-26 00:00:00+05:30,1375.9005126953125,0
ICICIBANK,2026-06-29 00:00:00+05:30,1375.9996337890625,13249405
ICICIBANK,2026-06-30 00:00:00+05:30,1363.7032470703125,18398057
ICICIBANK,2026-07-01 00:00:00+05:30,1368.264892578125,11948034
ICICIBANK,2026-07-02 00:00:00+05:30,1388.2960205078125,15779429
ICICIBANK,2026-07-03 00:00:00+05:30,1399.6007080078125,12901785
ICICIBANK,2026-07-06 00:00:00+05:30,1414.9710693359375,12306949
ICICIBANK,2026-07-07 00:00:00+05:30,1402.873046875,15664178
ICICIBANK,2026-07-08 00:00:00+05:30,1369.05810546875,10573142
ICICIBANK,2026-07-09 00:00:00+05:30,1369.1572265625,13948838
ICICIBANK,2026-07-10 00:00:00+05:30,1389.48583984375,6409645
ICICIBANK,2026-07-13 00:00:00+05:30,1397.716552734375,10091437
ICICIBANK,2026-07-14 00:00:00+05:30,1395.9315185546875,14133017
ICICIBANK,2026-07-15 00:00:00+05:30,1404.3604736328125,12961648
ICICIBANK,2026-07-16 00:00:00+05:30,1406.34375,10165264
ICICIBANK,2026-07-17 00:00:00+05:30,1432.2257080078125,11112550
ICICIBANK,2026-07-20 00:00:00+05:30,1447.99267578125,22236415
ICICIBANK,2026-07-21 00:00:00+05:30,1450.868408203125,18269907
ICICIBANK,2026-07-22 00:00:00+05:30,1428.6556396484375,8345136
ICICIBANK,2026-07-23 00:00:00+05:30,1422.606689453125,12409328
ICICIBANK,2026-07-24 00:00:00+05:30,1420.9208984375,10870914
ICICIBANK,2026-07-27 00:00:00+05:30,1433.6138916015625,10608300
ICICIBANK,2026-07-28 00:00:00+05:30,1418.8385009765625,19486209
ICICIBANK,2026-07-29 00:00:00+05:30,1425.879150390625,10856166
ICICIBANK,2026-07-30 00:00:00+05:30,1421.91259765625,14141173
ICICIBANK,2026-07-31 00:00:00+05:30,1423.4000244140625,8752440
ICICIBANK,2026-08-03 00:00:00+05:30,1460.0,7706747
ICICIBANK,2026-08-04 00:00:00+05:30,1454.5999755859375,11458963
ICICIBANK,2026-08-05 00:00:00+05:30,1450.0999755859375,11723296
ICICIBANK,2026-08-06 00:00:00+05:30,1457.5,14954726
ICICIBANK,2026-08-07 00:00:00+05:30,1421.0,14395789
ICICIBANK,2026-08-10 00:00:00+05:30,1431.800048828125,12749354
ICICIBANK,2026-08-11 00:00:00+05:30,1429.5999755859375,10471914
ICICIBANK,2026-08-12 00:00:00+05:30,1431.699951171875,8201733
ICICIBANK,2026-08-13 00:00:00+05:30,1406.800048828125,11408206
ICICIBANK,2026-08-14 00:00:00+05:30,1417.0,6097934
ICICIBANK,2026-08-17 00:00:00+05:30,1415.300048828125,5605603
ICICIBANK,2026-08-18 00:00:00+05:30,1412.0,8345198
ICICIBANK,2026-08-19 00:00:00+05:30,1402.0,10304210
ICICIBANK,2026-08-20 00:00:00+05:30,1411.9000244140625,8425049
ICICIBANK,2026-08-21 00:00:00+05:30,1420.0,4565280
ICICIBANK,2026-08-24 00:00:00+05:30,1415.0,5307113
ICICIBANK,2026-08-25 00:00:00+05:30,1422.699951171875,7983249
ICICIBANK,2026-08-26 00:00:00+05:30,1430.0,4177066
ICICIBANK,2026-08-27 00:00:00+05:30,1443.0,11539716
ICICIBANK,2026-08-28 00:00:00+05:30,1422.800048828125,8625738
ICICIBANK,2026-08-31 00:00:00+05:30,1454.0,15331697
ICICIBANK,2026-09-01 00:00:00+05:30,1438.0,10627608
ICICIBANK,2026-09-02 00:00:00+05:30,1426.5,8515824
ICICIBANK,2026-09-03 00:00:00+05:30,1430.0,10503351
ICICIBANK,2026-09-04 00:00:00+05:30,1423.199951171875,6693889
ICICIBANK,2026-09-07 00:00:00+05:30,1427.5,8035111
ICICIBANK,2026-09-08 00:00:00+05:30,1399.4000244140625,12123411
ICICIBANK,2026-09-09 00:00:00+05:30,1389.0999755859375,14229080
ICICIBANK,2026-09-10 00:00:00+05:30,1384.5,10580641
ICICIBANK,2026-09-11 00:00:00+05:30,1379.300048828125,7064417
